1 1	WALKING	0.2773308	-0.017383819	-0.11114810	-0.283740259	0.114461337	-0.26002790	0.9352232	-0.282165021	-0.068102864	-0.9766096	-0.9713060	-0.9477172	0.07404163	2.827211e-02	-4.168406e-03	-0.113615602	0.067002501	-0.50269979	-0.0418309635	-0.069530046	0.0849448173	-0.4735355	-0.054607769	-0.34426663	-0.08999754	-0.03984287	-0.046130930	-0.20742185	-0.30446851	-0.404255453	-0.1369711766	-0.21968865	-0.1369711766	-0.21968865	-0.141428809	-0.07447175	-0.160979553	-0.18697836	-0.29870368	-0.32532488	-0.20279431	0.089712726	-0.33156012	-0.319134720	0.056040007	-0.27968675	-2.075484e-01	0.1130936461	0.0497265196	-0.170546965	-0.035225524	-0.46899922	-0.133586606	0.106739857	-0.534713440	-0.20926197	-3.862371e-01	-0.185530281	-0.33903220	-0.10305942	-0.25594094	-0.5166919	-0.03350816	-0.43656223	0.014784499	-0.065774619	0.0007733216	-0.128623451	-0.3980325868	0.1906437244	-0.0571194000	-0.10349240	0.0938221807	-0.1992525690	-0.32101795	0.2688443675	-0.31930859	-0.38160191	0.1906634488
2	2	WALKING	0.2764266	-0.018594920	-0.10550036	-0.423642838	-0.078091253	-0.42525752	0.9130173	-0.346607090	0.084727087	-0.9726932	-0.9721169	-0.9720728	0.06180807	1.824927e-02	7.895337e-03	-0.277530463	-0.016602236	-0.58609042	-0.0530258157	-0.048238232	0.0828336633	-0.5615503	-0.538453668	-0.48108554	-0.08188334	-0.05382994	-0.051493916	-0.38954983	-0.63414044	-0.435492677	-0.2904075937	-0.42254417	-0.2904075937	-0.42254417	-0.281424154	-0.16415099	-0.446549093	-0.55301992	-0.54791195	-0.55779815	-0.34604816	-0.021904810	-0.45380637	-0.457651384	-0.169219686	-0.45522215	-1.457955e-01	0.1985864665	0.0688995208	-0.304615323	-0.078764084	-0.55495671	-0.314313063	-0.015332952	-0.615898188	-0.07271016	-2.635740e-01	-0.254846439	-0.42971354	-0.55477211	-0.39665991	-0.6040530	-0.53304695	-0.55985664	0.007279680	-0.042700932	0.1397521153	-0.324289428	-0.5771052117	0.3932062083	-0.1690643528	-0.16409197	0.2075009267	-0.5307048147	-0.65179284	0.3052838253	-0.58324929	-0.55810455	0.1263446144
3	3	WALKING	0.2755675	-0.017176784	-0.11267486	-0.360356726	-0.069914065	-0.38741199	0.9365067	-0.261986358	-0.138107866	-0.9777716	-0.9623556	-0.9520918	0.08147459	1.005915e-02	-5.622646e-03	-0.268679644	-0.044961959	-0.52948612	-0.0256405193	-0.077915094	0.0813485943	-0.5718696	-0.563793260	-0.47669641	-0.09523982	-0.03878747	-0.050361610	-0.38592299	-0.63908798	-0.536664080	-0.2546903333	-0.32842894	-0.2546903333	-0.32842894	-0.280009317	-0.13991636	-0.466411754	-0.56151068	-0.56613522	-0.56737156	-0.31661401	-0.081302435	-0.41237407	-0.379276781	-0.124030832	-0.42299847	-2.466142e-01	0.1717430030	0.0748536557	-0.304694443	-0.140508590	-0.51413726	-0.296596633	-0.005614988	-0.543529108	-0.21604267	-2.586680e-01	-0.346946648	-0.43784576	-0.56152627	-0.41812622	-0.6151214	-0.56888867	-0.54589639	0.033759690	-0.037989651	-0.0445079739	-0.290031535	-0.4563730809	0.1134943128	-0.1867645170	-0.08985199	-0.1171639831	-0.5697557722	-0.63264329	0.1809464630	-0.60775165	-0.54908701	0.0457622958
4	4	WALKING	0.2785820	-0.014839948	-0.11140306	-0.440829971	-0.078826737	-0.58625281	0.9639997	-0.085854027	0.127764113	-0.9838265	-0.9679632	-0.9629681	0.07835291	2.956024e-03	-7.676793e-04	-0.297042613	-0.221165132	-0.75139138	-0.0317982558	-0.072690528	0.0805677161	-0.5009167	-0.665394093	-0.66260823	-0.11532156	-0.03934745	-0.055116685	-0.49234107	-0.80741994	-0.640454133	-0.3120505742	-0.52767910	-0.3120505742	-0.52767910	-0.366700880	-0.31691896	-0.497792201	-0.55311611	-0.68130404	-0.73014637	-0.42671945	-0.149399633	-0.63100547	-0.447234930	-0.101799451	-0.59419833	-1.385916e-01	0.0123477343	-0.0787892637	-0.358883414	-0.279553392	-0.72899160	-0.297326072	-0.209900006	-0.772359087	-0.13528039	-3.858809e-01	-0.325737504	-0.37338454	-0.68846006	-0.60138113	-0.5426468	-0.65465777	-0.71645848	-0.127154086	-0.274665638	0.1498515347	-0.450804558	-0.6511726282	0.3820964100	-0.3185878110	-0.32045870	0.1114864850	-0.6092855880	-0.59393720	0.0697301245	-0.72432742	-0.75776808	0.2653553740
5	5	WALKING	0.2778423	-0.017285032	-0.10774178	-0.294098534	0.076748403	-0.45702144	0.9726250	-0.100440285	0.002476236	-0.9793484	-0.9615855	-0.9645808	0.08458888	-1.631941e-02	8.321594e-05	-0.302891025	-0.091039743	-0.61289532	-0.0488919897	-0.069013525	0.0815435496	-0.4908775	-0.504622030	-0.31870062	-0.08884084	-0.04495595	-0.048267960	-0.35768140	-0.57143812	-0.157682544	-0.1583386744	-0.37717873	-0.1583386744	-0.37717873	-0.288333024	-0.28224228	-0.355933084	-0.49217682	-0.44453249	-0.48919975	-0.28778261	0.009460378	-0.49025109	-0.297517355	0.042602683	-0.48305996	-3.223820e-01	-0.0020405110	0.0247389729	-0.344954806	-0.181055554	-0.59049662	-0.321390320	-0.054521360	-0.633429996	-0.35937258	-5.340498e-01	-0.344150925	-0.37266875	-0.51395172	-0.21312703	-0.5293928	-0.50268338	-0.42036708	-0.045860194	-0.019186012	0.1674578191	-0.304992489	-0.5196369261	0.1498525222	-0.2694816611	-0.30568538	-0.0049728779	-0.4842628289	-0.58974151	0.2506206098	-0.54805357	-0.45566530	0.0527330125
6	6	WALKING	0.2836589	-0.016895419	-0.11030317	-0.296538717	0.164213885	-0.50432421	0.9580675	-0.214694852	0.033188883	-0.9777799	-0.9642486	-0.9572050	0.06995859	-1.648317e-02	-7.389312e-03	-0.132784767	0.008088974	-0.57577747	-0.0255096186	-0.074446247	0.0838808799	-0.4460210	-0.331702268	-0.38313933	-0.08788911	-0.03623090	-0.053959728	-0.18260093	-0.41639025	-0.166684422	-0.1668407136	-0.26673417	-0.1668407136	-0.26673417	-0.195117026	-0.07060296	-0.281207841	-0.36560292	-0.32129048	-0.36470834	-0.18793432	0.140781622	-0.49852016	-0.345227690	0.101699642	-0.55047462	-1.968417e-01	0.0220734188	0.1851070423	-0.150942918	-0.075374232	-0.54143862	-0.192694694	0.031445068	-0.608624354	-0.17829518	-4.663058e-01	-0.104129449	-0.23965071	-0.34137843	-0.20357546	-0.5153239	-0.33200871	-0.51220923	0.091240973	0.041626754	0.3028749498	-0.201386608	-0.4216830935	0.2000903640	-0.0554014233	-0.09649997	-0.0092288465	-0.3296811234	-0.51064832	0.2931096135	-0.36650053	-0.40807891	0.1009247318
7	7	WALKING	0.2755930	-0.018653665	-0.11091223	-0.327243241	-0.077261856	0.15963128	0.9325665	-0.159097004	-0.160846924	-0.9798513	-0.9694042	-0.9521598	0.09014626	1.843227e-02	-2.103986e-02	-0.346026226	-0.054744895	-0.14948851	0.0022883521	-0.083711372	0.0641104602	-0.5033135	-0.231098305	-0.39601354	-0.12365420	-0.04477660	-0.049571309	-0.21166730	-0.17413641	-0.458302971	-0.0978090439	-0.19855471	-0.0978090439	-0.19855471	-0.192948900	-0.02755733	-0.305959351	-0.19828317	-0.30002278	-0.09534012	-0.34304841	-0.064156420	0.03858323	-0.322034908	-0.143721823	0.13331683	-3.137274e-01	0.1604341290	0.1246301711	-0.383715798	-0.123192887	-0.10649037	-0.365314791	-0.043191746	-0.190751539	-0.28458651	-2.870138e-01	-0.244831720	-0.31839510	-0.15196669	-0.36673362	-0.5636153	-0.29085938	-0.46327002	0.111912537	0.273141323	0.0143564055	-0.151243650	-0.3517067805	0.1729978835	-0.0384187299	-0.02213836	-0.0127446365	-0.1929097655	-0.34389491	0.3003157181	-0.15533986	-0.08416638	0.0008803400
8	8	WALKING	0.2746863	-0.018662887	-0.10725209	-0.173605736	0.380782053	-0.14208853	0.9135863	-0.217102195	-0.186267837	-0.9747521	-0.9567815	-0.9566401	0.07033935	-6.039475e-03	-6.737989e-04	-0.258688628	0.233987544	-0.38320060	0.0235088228	-0.095791791	0.0509657915	-0.1992097	-0.211997277	-0.07544478	-0.13588643	-0.03148809	-0.052268397	-0.24608275	-0.42805570	-0.388446972	0.0516786278	-0.18040728	0.0516786278	-0.18040728	-0.066832243	-0.18457105	-0.003102438	-0.23874670	-0.33912927	-0.50295726	-0.24738901	0.316982393	-0.23863459	-0.148386859	0.324844931	-0.15843734	-3.808924e-01	0.0035616376	0.1119472054	-0.311198711	0.079683287	-0.36156326	-0.271448185	0.315883536	-0.404482509	-0.34589812	-4.192779e-01	-0.247485399	-0.10206305	-0.25972969	-0.13290220	-0.2342520	-0.19080572	-0.14297423	-0.176032066	-0.102881608	-0.2188007538	-0.095217283	-0.3608189785	0.2040808879	-0.1238344098	-0.27643613	0.1761898763	-0.3012418486	-0.32745958	0.0890005738	-0.47302623	-0.58124019	0.2945900067
9	9	WALKING	0.2785028	-0.018089197	-0.11082051	-0.238353563	-0.201696961	-0.05796365	0.9518671	-0.031434174	-0.115856121	-0.9809720	-0.9712424	-0.9555240	0.07043573	2.122559e-02	4.147627e-03	-0.206733788	-0.276929934	-0.40976453	-0.0808360599	-0.062559871	0.1116297799	-0.4761635	-0.467054168	-0.26568352	-0.08092041	-0.03562834	-0.063340662	-0.52698531	-0.54920023	-0.457881494	-0.0980840496	-0.37942877	-0.0980840496	-0.37942877	-0.203733616	-0.31711349	-0.294542267	-0.48972581	-0.51025400	-0.59986647	-0.29471116	-0.257677616	-0.25080626	-0.218019977	-0.223972559	-0.03379653	-3.107276e-01	0.0213195015	0.0237831761	-0.314265401	-0.367706595	-0.39954125	-0.170228340	-0.228380473	-0.419104363	-0.37829149	-3.890473e-01	-0.366570478	-0.38367612	-0.43690586	-0.24022251	-0.5074045	-0.49099034	-0.34236722	-0.200624504	0.016481583	-0.1521037211	-0.318801023	-0.5138919533	0.1616729885	-0.3168707156	-0.32233754	0.1592399386	-0.5137974804	-0.56271453	0.1274162411	-0.60258162	-0.62435192	0.2432221818
10	10	WALKING	0.2785741	-0.017022351	-0.10905751	-0.178709734	-0.022743165	-0.39564507	0.9630921	-0.083827701	0.054927624	-0.9744352	-0.9711147	-0.9578627	0.08579438	4.082488e-03	-1.629532e-02	-0.052199101	0.075080495	-0.51166291	0.0106894976	-0.081954078	0.0986695731	-0.4142055	-0.250853319	-0.17452487	-0.12270956	-0.05192050	-0.061126293	-0.36606372	-0.50968333	-0.329079493	-0.1274009121	-0.18560240	-0.1274009121	-0.18560240	-0.132624992	0.03760834	-0.156458730	-0.40202514	-0.44036364	-0.50102792	-0.11419000	0.053391191	-0.41218272	-0.206366497	-0.129775706	-0.43530422	-2.633259e-01	0.2437974968	0.2589679664	-0.107941107	0.030905202	-0.46402051	-0.079151827	0.048486767	-0.558512650	-0.26013064	-1.484457e-01	0.055799091	-0.27791378	-0.34520903	-0.10853003	-0.4582929	-0.20439282	-0.27329287	-0.093367142	-0.122109930	-0.1298003721	-0.093023742	-0.3704719440	0.1795998648	0.0205189517	0.05020876	-0.0712853942	-0.4126169096	-0.49975980	0.1291001068	-0.51506534	-0.51767580	-0.0002340192
